lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag,prediction_label,prediction_score
34.0443,-118.2698,6,4,0,0,1,1,0.7941
33.9523,-118.3188,0,2,0,10,0,0,1.0
34.0443,-118.2698,9,3,0,0,1,1,0.6207
33.9933,-118.2138,1,2,0,7,0,0,1.0
34.0443,-118.2698,6,2,0,0,1,1,0.7647
33.8693,-118.2778,7,3,0,17,1,0,1.0
34.0443,-118.2698,6,2,0,0,0,1,0.7647
34.0443,-118.2698,7,3,0,0,0,1,0.7447
33.9123,-118.4448,10,2,0,21,1,1,1.0
33.8443,-118.2628,3,1,0,20,0,1,1.0
33.9753,-118.1568,3,2,0,13,1,1,1.0
34.0563,-118.3888,5,4,0,11,1,1,1.0
33.8523,-118.2648,9,4,0,19,0,0,1.0
33.9933,-118.3118,2,2,0,6,0,0,1.0
33.9963,-118.4338,4,2,0,17,0,0,1.0
33.9393,-118.3928,3,3,0,16,0,1,1.0
33.9743,-118.2758,10,2,0,7,1,1,1.0
34.0193,-118.3558,8,1,1,8,1,1,1.0
33.9123,-118.4418,1,4,0,21,0,1,1.0
34.0473,-118.0988,0,3,0,17,0,0,1.0
34.0443,-118.2698,5,2,1,0,0,0,0.5556
34.0443,-118.2698,0,3,0,0,1,1,0.5231
34.0443,-118.0988,8,2,0,17,1,0,1.0
33.9213,-118.2768,8,3,0,12,0,1,1.0
34.0323,-118.1948,1,1,0,7,0,1,1.0
33.9423,-118.2198,6,2,0,11,0,1,1.0
33.8703,-118.1798,6,2,0,19,1,1,1.0
33.9983,-118.4088,9,4,0,14,0,0,1.0
34.0443,-118.2698,0,1,0,0,1,1,0.5862
33.9013,-118.1798,0,2,1,16,1,1,1.0
34.0443,-118.2698,2,3,0,0,1,1,0.6579
34.0443,-118.2698,0,3,0,0,1,1,0.5231
33.9173,-118.1358,9,3,0,18,0,0,1.0
33.9043,-118.3918,11,4,0,18,0,0,1.0
34.0433,-118.2698,3,3,0,0,1,1,1.0
33.8253,-118.2818,3,2,0,21,1,1,1.0
34.0423,-118.2698,4,1,0,0,1,1,0.675
34.0373,-118.3698,1,4,0,10,0,1,1.0
33.9533,-118.2878,1,3,0,9,1,0,1.0
33.9503,-118.2908,8,1,0,9,0,0,1.0
34.0083,-118.2578,8,3,0,3,1,1,1.0
34.0443,-118.2698,5,4,1,0,1,1,0.6667
33.9643,-118.1568,1,4,0,13,0,0,1.0
34.0443,-118.2698,5,2,0,0,0,1,0.6842
34.0293,-118.2498,4,4,0,2,1,1,1.0
33.9633,-118.2928,5,1,1,8,0,0,1.0
33.9393,-118.1188,10,3,0,18,1,0,1.0
33.8633,-118.3548,0,4,0,19,0,1,1.0
34.0443,-118.2698,5,4,1,0,0,1,0.6667
34.0443,-118.2698,9,2,0,0,0,1,0.7188
33.9293,-118.4258,6,3,0,19,1,0,1.0
33.8153,-118.3138,2,2,1,23,0,1,1.0
33.8903,-118.2228,0,1,0,16,0,1,1.0
33.9133,-118.1378,0,1,0,18,0,0,1.0
34.0413,-118.2048,3,2,0,6,0,0,1.0
33.9283,-118.2278,5,4,0,12,1,0,1.0
34.0523,-118.3948,2,1,0,12,0,0,1.0
33.8493,-118.1818,9,3,0,21,0,1,1.0
34.0443,-118.2698,6,4,1,0,0,1,1.0
33.9143,-118.2778,2,4,0,13,1,0,1.0
34.0083,-118.3518,7,3,0,8,1,1,1.0
33.9263,-118.0748,3,2,0,22,1,1,1.0
33.8723,-118.2078,5,3,0,18,1,0,1.0
33.9883,-118.3188,0,2,0,7,0,0,1.0
33.9133,-118.3668,5,3,0,16,0,1,1.0
33.8913,-118.2488,1,4,0,15,1,1,1.0
34.0443,-118.2698,0,2,1,0,1,1,0.5333
34.0443,-118.2698,0,2,0,0,1,1,0.5323
33.8203,-118.2748,11,3,0,22,0,0,1.0
34.0443,-118.2698,9,3,0,0,1,1,0.6207
34.0273,-118.2038,2,3,1,6,0,1,1.0
33.9153,-118.2968,2,4,0,13,1,1,1.0
34.0323,-118.2028,3,1,0,6,1,1,1.0
34.0443,-118.2698,8,4,0,0,0,1,0.5897
34.0393,-118.2498,1,1,0,2,0,1,1.0
34.0103,-118.1318,10,4,0,14,0,1,1.0
34.0443,-118.2698,3,3,1,0,0,1,0.8571
34.0293,-118.4118,4,2,0,14,1,0,1.0
34.0443,-118.2698,9,3,0,0,1,1,0.6207
33.8523,-118.2628,10,1,0,19,0,1,1.0
34.0443,-118.2698,3,4,0,0,1,1,0.6047
34.0473,-118.0978,4,4,0,17,0,0,1.0
33.8913,-118.4148,10,1,0,21,1,1,1.0
34.0213,-118.2718,9,3,0,2,1,0,1.0
33.8293,-118.2828,7,3,0,21,1,0,1.0
34.0323,-118.2778,5,4,0,1,0,1,1.0
34.0443,-118.2698,4,4,0,0,0,1,0.5435
33.9653,-118.0908,4,2,0,19,0,0,1.0
34.0443,-118.2698,7,3,0,0,1,1,0.7447
34.0443,-118.2698,7,2,1,0,1,1,0.6667
33.8783,-118.4098,0,3,0,21,0,0,1.0
33.9353,-118.1108,1,1,0,19,1,0,1.0
34.0443,-118.2698,6,4,0,0,1,1,0.7941
34.0443,-118.2698,2,1,0,0,1,1,0.678
33.8963,-118.4118,9,1,0,20,0,0,1.0
33.8803,-118.2748,10,4,0,16,1,0,1.0
33.9523,-118.3878,8,4,0,14,0,0,1.0
33.9643,-118.0658,1,4,0,21,0,1,1.0
34.0253,-118.2118,8,3,1,6,0,0,1.0
33.8603,-118.1908,3,4,0,20,0,0,1.0
34.0443,-118.2698,5,4,0,0,1,1,0.6216
34.0443,-118.2698,2,4,0,0,1,1,0.7188
33.9743,-118.1438,10,3,1,14,0,0,1.0
33.9753,-118.0878,3,4,0,19,0,0,1.0
34.0113,-118.3138,8,4,0,5,0,0,1.0
34.0503,-118.1108,10,4,0,15,0,0,1.0
34.0293,-118.2318,1,3,0,4,1,1,1.0
34.0193,-118.2108,6,1,1,6,1,1,1.0
33.9033,-118.1498,6,3,0,18,1,1,1.0
33.9033,-118.1368,11,1,0,19,0,0,1.0
34.0443,-118.2698,6,1,0,0,0,1,0.6765
33.9393,-118.2738,3,1,0,10,0,1,1.0
34.0443,-118.2698,9,3,0,0,1,1,0.6207
34.0443,-118.2698,5,3,0,0,1,1,0.6744
33.9093,-118.2178,9,1,0,14,1,1,1.0
33.9113,-118.1678,8,3,0,16,0,1,1.0
34.0113,-118.3948,5,2,0,12,0,0,1.0
34.0443,-118.4498,4,3,0,18,0,0,1.0
34.0443,-118.2698,11,4,0,0,0,0,0.5
33.9783,-118.2418,9,3,1,7,0,0,1.0
34.0443,-118.2698,1,3,0,0,1,1,0.5116
33.8433,-118.2578,4,2,0,20,0,0,1.0
34.0443,-118.2698,0,1,0,0,0,1,0.5862
34.0443,-118.2698,7,1,0,0,0,1,0.5625
33.8913,-118.4148,0,3,0,21,0,1,1.0
34.0243,-118.3208,8,2,0,5,0,0,1.0
34.0443,-118.2698,9,3,0,0,0,1,0.6207
34.0353,-118.2568,2,2,0,1,0,1,1.0
34.0243,-118.2088,9,3,0,6,0,1,1.0
34.0443,-118.2698,6,3,0,0,1,1,0.6852
34.0443,-118.2698,7,1,0,0,1,1,0.5625
34.0443,-118.4568,10,3,0,18,0,1,1.0
33.8843,-118.3808,2,3,0,19,0,0,1.0
34.0323,-118.2498,6,1,0,2,0,1,1.0
34.0473,-118.4168,3,4,0,14,1,1,1.0
33.9343,-118.3158,9,1,0,11,1,0,1.0
34.0443,-118.2518,2,4,0,1,1,0,1.0
33.9753,-118.4098,10,3,0,15,0,0,1.0
33.9093,-118.1068,6,1,0,21,0,0,1.0
34.0503,-118.2608,10,1,0,1,1,1,1.0
34.0173,-118.1468,6,4,0,12,1,0,1.0
33.9903,-118.1578,2,3,0,12,0,0,1.0
34.0143,-118.2088,1,3,1,6,1,1,1.0
34.0443,-118.2698,10,1,0,0,1,1,0.5641
34.0443,-118.2698,0,2,0,0,1,1,0.5323
34.0333,-118.2628,6,1,0,1,1,1,1.0
34.0443,-118.2698,10,1,0,0,0,1,0.5641
33.9853,-118.3138,1,1,0,7,0,0,1.0
33.8613,-118.2688,11,2,0,18,1,1,1.0
34.0713,-118.4038,9,2,0,13,0,1,1.0
34.0323,-118.2698,3,3,1,1,1,0,1.0
34.0443,-118.3958,8,2,0,12,1,1,1.0
34.0443,-118.2698,0,1,0,0,1,1,0.5862
34.0623,-118.1168,9,1,0,15,1,0,1.0
34.0423,-118.2238,6,2,0,4,0,1,1.0
33.8483,-118.2188,3,4,0,20,0,1,1.0
33.9223,-118.3188,7,1,0,13,0,0,1.0
33.8953,-118.3358,4,4,0,16,1,1,1.0
33.8763,-118.1488,6,4,1,20,1,1,1.0
34.0333,-118.0968,6,3,0,17,0,0,1.0
33.9853,-118.2818,5,1,0,6,0,0,1.0
33.9443,-118.2948,1,3,0,10,1,1,1.0
34.0293,-118.1378,4,1,0,13,1,0,1.0
34.0443,-118.2698,1,2,0,0,1,1,0.6154
33.9583,-118.1778,1,3,0,12,0,1,1.0
33.8093,-118.2718,11,4,0,23,0,1,1.0
34.0443,-118.2698,1,3,0,0,0,1,0.5116
34.0463,-118.2608,6,4,0,0,1,1,1.0
33.8253,-118.3408,5,2,0,23,1,0,1.0
34.0443,-118.2468,2,2,0,2,1,1,1.0
34.0213,-118.4678,10,1,0,19,1,1,1.0
34.0233,-118.4168,6,2,0,14,1,0,1.0
33.9203,-118.1558,4,2,1,16,1,1,1.0
34.0443,-118.2698,9,1,0,0,1,1,0.6481
34.0443,-118.2698,8,1,0,0,1,1,0.587
34.0223,-118.2828,0,2,0,2,0,1,1.0
33.9733,-118.1148,11,1,0,17,0,1,1.0
34.0193,-118.2698,2,3,0,2,1,0,1.0
34.0353,-118.1278,4,3,0,14,1,1,1.0
34.0443,-118.2698,8,1,0,0,1,1,0.587
34.0253,-118.4458,5,1,0,17,0,0,1.0
34.0263,-118.4108,11,1,1,14,0,1,1.0
34.0543,-118.4158,6,1,1,14,0,1,1.0
33.8793,-118.3758,5,4,0,19,0,1,1.0
34.0443,-118.2698,5,3,0,0,1,1,0.6744
34.0443,-118.2698,0,4,0,0,0,1,0.614
34.0273,-118.2908,3,3,0,2,0,1,1.0
33.9943,-118.1488,7,4,0,13,1,0,1.0
34.0473,-118.1228,1,2,0,14,0,1,1.0
34.0443,-118.2698,5,1,1,0,1,1,0.6
34.0443,-118.2698,6,1,0,0,1,1,0.6765
33.9703,-118.4188,7,1,0,16,0,0,1.0
33.8703,-118.2538,3,2,0,17,1,0,1.0
33.9833,-118.0798,7,3,0,19,1,0,1.0
34.0443,-118.2698,11,2,0,0,1,1,0.7727
34.0243,-118.3218,10,3,1,5,1,0,1.0
34.0213,-118.1068,0,1,0,16,1,1,1.0
34.0443,-118.2698,0,3,0,0,0,1,0.5231
34.0443,-118.1048,3,4,0,16,1,1,1.0
34.0273,-118.2458,0,2,0,2,0,1,1.0
33.8763,-118.1678,5,2,1,19,1,0,1.0
33.8823,-118.2568,3,4,0,16,0,0,1.0
33.9063,-118.1638,0,1,1,17,1,1,1.0
33.9323,-118.2108,10,3,1,12,1,1,1.0
34.0583,-118.1068,2,3,1,16,0,1,1.0
33.9803,-118.2698,0,3,0,6,1,0,1.0
34.0443,-118.2698,3,1,0,0,1,1,0.6863
34.0473,-118.2708,3,4,0,0,1,0,1.0
34.0443,-118.2698,4,3,0,0,0,1,0.5882
33.9113,-118.2778,1,4,0,13,0,0,1.0
33.9963,-118.2418,6,2,0,5,1,0,1.0
33.9533,-118.3588,1,4,0,12,1,0,1.0
33.8983,-118.3558,0,2,0,16,0,0,1.0
34.0213,-118.4618,7,3,0,19,1,1,1.0
33.9943,-118.2488,4,2,0,5,0,1,1.0
33.9123,-118.3788,11,4,0,17,0,0,1.0
34.0733,-118.1278,10,2,0,14,1,0,1.0
33.9363,-118.4088,11,3,0,17,0,0,1.0
34.0443,-118.2698,6,2,1,0,1,0,0.5
33.8503,-118.2718,3,2,1,19,0,1,1.0
33.9033,-118.3978,1,4,1,19,0,1,1.0
33.9063,-118.4238,10,3,0,20,1,1,1.0
33.9753,-118.3868,9,1,0,13,1,0,1.0
33.8463,-118.1978,3,2,0,21,0,1,1.0
34.0133,-118.1468,1,1,0,12,0,0,1.0
34.0403,-118.3638,2,1,0,9,0,1,1.0
34.0443,-118.2698,1,2,0,0,1,1,0.6154
33.9553,-118.3268,0,1,0,10,0,0,1.0
34.0603,-118.3608,2,4,0,9,0,0,1.0
34.0503,-118.3018,2,1,0,3,0,0,1.0
34.0443,-118.2698,2,3,0,0,1,1,0.6579
33.9373,-118.3078,11,1,0,11,1,0,1.0
33.8543,-118.2388,5,2,0,19,1,0,1.0
33.9883,-118.2258,5,2,0,7,1,0,1.0
34.0593,-118.4128,10,3,0,14,0,1,1.0
33.9953,-118.2058,2,2,0,8,1,1,1.0
34.0273,-118.1288,0,3,1,14,1,0,1.0
33.9723,-118.3228,7,2,0,8,0,1,1.0
33.8843,-118.1978,1,3,0,17,1,1,1.0
34.0523,-118.1228,1,3,0,14,0,0,1.0
33.8943,-118.2898,9,3,1,15,0,1,1.0
33.9403,-118.2668,7,3,1,10,0,1,1.0
34.0443,-118.2698,0,4,0,0,0,1,0.614
33.9363,-118.1648,4,3,1,15,0,0,1.0
34.0493,-118.2668,8,4,0,0,0,1,1.0
33.8733,-118.3508,4,3,1,18,0,1,1.0
33.8703,-118.1208,3,4,0,22,1,1,1.0
34.0443,-118.2698,3,4,0,0,1,1,0.6047
34.0443,-118.2698,10,2,0,0,1,1,0.7037
34.0443,-118.2698,5,3,0,0,1,1,0.6744
33.8713,-118.2758,0,1,0,17,0,1,1.0
34.0443,-118.2698,3,2,0,0,0,1,0.6613
33.9163,-118.1258,2,3,0,19,0,0,1.0
33.9013,-118.3718,7,3,0,17,0,0,1.0
33.8723,-118.4088,8,3,1,22,1,0,1.0
33.9913,-118.3208,0,1,0,7,0,0,1.0
33.8833,-118.1848,4,4,1,18,0,0,1.0
34.0443,-118.2698,4,4,0,0,1,1,0.5435
34.0443,-118.2698,7,1,0,0,1,1,0.5625
34.0443,-118.2698,1,3,0,0,1,1,0.5116
33.9283,-118.0878,6,3,0,21,1,1,1.0
34.0443,-118.2698,0,1,0,0,1,1,0.5862
34.0273,-118.2738,5,4,0,1,1,0,1.0
33.8383,-118.2248,9,1,0,21,0,0,1.0
34.0443,-118.2998,9,3,0,3,0,0,1.0
33.9613,-118.4298,5,3,0,18,1,1,1.0
33.9063,-118.4338,6,1,1,21,1,1,1.0
33.9063,-118.4058,6,3,0,19,1,0,1.0
34.0363,-118.3738,8,2,0,10,0,0,1.0
33.9523,-118.2138,11,1,0,10,1,0,1.0
34.0753,-118.1168,5,2,0,15,0,1,1.0
34.0133,-118.2568,4,2,0,3,0,1,1.0
33.8203,-118.2778,0,4,0,22,0,0,1.0
34.0443,-118.2698,3,4,0,0,1,1,0.6047
33.8653,-118.3828,11,4,0,21,1,1,1.0
33.9703,-118.1588,2,1,0,13,0,1,1.0
34.0373,-118.2948,6,2,0,2,1,0,1.0
33.9553,-118.4588,10,2,0,20,0,0,1.0
34.0083,-118.3078,11,4,0,5,0,1,1.0
33.9423,-118.1638,7,1,0,14,1,1,1.0
33.9443,-118.4038,3,1,0,16,0,1,1.0
34.0453,-118.4698,4,4,0,20,1,1,1.0
34.0443,-118.2698,0,1,0,0,1,1,0.5862
33.9883,-118.1288,7,1,0,15,1,0,1.0
33.9263,-118.1358,4,1,0,17,1,0,1.0
34.0023,-118.3158,10,1,1,6,1,0,1.0
34.0033,-118.2238,5,1,0,6,0,0,1.0
34.0443,-118.2698,2,2,1,0,1,1,0.5714
33.9283,-118.4088,3,3,0,18,1,0,1.0
34.0443,-118.2698,3,3,0,0,0,1,0.6087
34.0443,-118.2698,10,1,0,0,0,1,0.5641
34.0143,-118.0668,6,4,0,20,0,0,1.0
33.8223,-118.2278,11,3,1,22,1,1,1.0
33.8853,-118.3488,3,2,0,17,1,0,1.0
34.0443,-118.2698,8,1,1,0,1,0,0.5
34.0403,-118.2768,11,4,0,0,1,0,0.5
34.0523,-118.1088,0,2,0,16,1,0,1.0
34.0033,-118.3038,2,3,0,5,0,0,1.0
33.9693,-118.3818,11,1,0,13,0,0,1.0
34.0443,-118.2698,1,4,0,0,1,1,0.6441
34.0373,-118.3978,3,2,0,12,0,0,1.0
33.8863,-118.1808,3,2,0,18,1,0,1.0
34.0383,-118.1298,1,2,0,14,0,1,1.0
33.9123,-118.1618,6,3,0,17,1,0,1.0
34.0443,-118.2698,2,2,0,0,0,1,0.72
34.0443,-118.2698,0,3,1,0,1,0,0.8
33.9133,-118.0928,6,1,0,22,0,0,1.0
33.8533,-118.2588,2,2,0,19,0,1,1.0
34.0143,-118.1148,1,2,0,15,1,1,1.0
33.8753,-118.1598,3,2,0,20,0,0,1.0
34.0273,-118.1848,7,3,0,8,0,1,1.0
34.0033,-118.1748,4,3,1,10,0,1,1.0
34.0163,-118.0708,4,2,1,20,1,0,1.0
34.0443,-118.2698,2,2,0,0,0,1,0.72
34.0133,-118.2458,0,1,0,3,1,0,1.0
34.0183,-118.3348,4,2,1,7,0,1,1.0
34.0143,-118.2058,0,1,0,7,1,0,1.0
34.0443,-118.2698,1,4,0,0,0,1,0.6441
34.0453,-118.4408,8,3,0,17,0,0,1.0
33.9513,-118.2088,11,3,0,11,1,0,1.0
34.0493,-118.0908,11,3,0,17,1,1,1.0
33.9593,-118.2568,3,2,0,8,0,0,1.0
33.9553,-118.3758,8,2,1,13,0,1,1.0
33.9933,-118.1008,6,3,0,17,0,0,1.0
34.0243,-118.3368,1,2,0,6,1,1,1.0
34.0463,-118.2878,0,3,0,1,0,1,1.0
33.9763,-118.2598,9,2,0,6,0,0,1.0
34.0383,-118.1348,9,2,0,13,0,1,1.0
34.0033,-118.2748,1,4,0,4,0,1,1.0
33.9883,-118.0718,0,4,0,20,0,0,1.0
33.9133,-118.1228,1,4,0,19,1,0,1.0
33.9373,-118.4588,10,3,0,21,0,0,1.0
34.0273,-118.2848,6,1,0,2,0,0,1.0
33.9593,-118.4138,10,3,0,16,1,0,1.0
33.9783,-118.3998,10,3,0,14,0,1,1.0
33.8693,-118.1378,5,3,0,21,1,0,1.0
33.8653,-118.1368,3,5,0,22,0,1,1.0
33.8913,-118.1158,6,1,0,21,1,1,1.0
34.0183,-118.4038,5,1,0,13,0,1,1.0
34.0243,-118.1368,6,4,0,13,0,0,1.0
33.8443,-118.1778,4,1,0,22,0,1,1.0
33.9313,-118.4498,9,3,0,21,1,0,1.0
33.8533,-118.3548,10,2,0,20,0,0,1.0
34.0083,-118.1848,3,3,0,9,1,0,1.0
33.9783,-118.2698,3,3,0,6,1,1,1.0
33.8953,-118.3958,7,1,0,19,0,0,1.0
33.8913,-118.4038,7,4,0,20,0,0,1.0
33.8723,-118.2498,6,1,0,17,1,0,1.0
33.9973,-118.2378,11,4,0,5,1,0,1.0
33.9123,-118.1678,3,1,0,16,0,0,1.0
33.9883,-118.4208,9,1,0,16,1,0,1.0
34.0223,-118.2498,8,1,0,2,0,0,1.0
33.9643,-118.2488,1,4,0,8,0,0,1.0
33.9193,-118.4608,2,3,0,22,1,0,1.0
34.0443,-118.2698,1,3,0,0,0,1,0.5116
33.8993,-118.3648,9,3,0,17,0,0,1.0
34.0243,-118.1778,7,3,0,9,0,1,1.0
33.8843,-118.2708,10,4,0,16,0,1,1.0
34.0063,-118.4258,2,2,0,16,0,0,1.0
34.0303,-118.4188,3,1,0,14,0,0,1.0
33.9833,-118.2848,2,1,0,6,0,0,1.0
34.0003,-118.1928,5,1,0,8,1,1,1.0
34.0443,-118.2698,2,4,0,0,1,1,0.7188
34.0093,-118.2798,6,4,0,3,0,0,1.0
34.0443,-118.2698,5,2,0,0,1,1,0.6842
34.0673,-118.1318,8,4,0,13,0,1,1.0
33.9853,-118.1258,11,2,0,15,0,0,1.0
33.8933,-118.1858,1,1,0,17,0,1,1.0
34.0443,-118.2698,7,3,0,0,0,1,0.7447
34.0443,-118.2698,4,2,0,0,0,1,0.5273
34.0443,-118.2698,11,4,0,0,0,0,0.5
34.0443,-118.2698,4,3,0,0,1,1,0.5882
34.0443,-118.2698,9,4,0,0,1,1,0.6
34.0443,-118.2698,5,3,0,0,0,1,0.6744
33.9633,-118.2598,4,2,0,8,1,1,1.0
34.0443,-118.2698,6,3,0,0,1,1,0.6852
33.9833,-118.3208,1,3,0,7,0,0,1.0
33.9103,-118.3788,6,4,0,17,0,1,1.0
34.0193,-118.2008,2,2,0,7,1,1,1.0
34.0443,-118.2698,10,1,0,0,1,1,0.5641
33.8883,-118.1718,10,3,0,18,0,1,1.0
33.8553,-118.1598,11,1,0,21,1,0,1.0
33.8393,-118.2688,5,3,0,20,1,1,1.0
33.9393,-118.2728,7,4,0,10,0,1,1.0
34.0443,-118.2698,6,4,0,0,1,1,0.7941
34.0443,-118.2698,11,4,0,0,1,0,0.5
34.0293,-118.2728,6,2,0,1,0,1,0.7647
34.0223,-118.3478,0,4,0,8,1,0,1.0
33.9933,-118.4328,10,1,1,17,0,0,1.0
33.9783,-118.2468,1,3,0,6,0,0,1.0
33.9113,-118.3008,10,2,0,13,0,0,1.0
34.0003,-118.2658,6,2,0,4,0,0,1.0
34.0083,-118.0878,1,2,0,18,1,0,1.0
33.9993,-118.2038,3,1,0,7,0,0,1.0
33.9503,-118.1678,0,5,0,13,0,1,1.0
33.8573,-118.1728,3,4,0,21,0,0,1.0
34.0373,-118.3868,1,2,0,11,0,1,1.0
33.9843,-118.2798,5,1,0,6,0,0,1.0
34.0323,-118.2798,4,4,0,1,0,1,1.0
34.0443,-118.2698,2,1,0,0,1,1,0.678
34.0383,-118.2688,9,3,0,0,1,1,1.0
34.0283,-118.2768,10,3,0,1,0,1,1.0
33.9813,-118.2948,11,1,0,6,0,1,1.0
34.0283,-118.3438,9,1,1,7,0,1,1.0
34.0503,-118.4378,4,5,0,16,0,0,1.0
33.9733,-118.1238,11,2,0,16,0,1,1.0
33.8483,-118.2858,6,4,0,19,0,1,1.0
33.8383,-118.2298,5,3,0,20,0,0,1.0
33.9473,-118.1668,1,4,0,14,0,1,1.0
34.0493,-118.0858,1,2,0,18,0,1,1.0
34.0543,-118.3998,5,2,0,13,0,0,1.0
33.9283,-118.1428,1,4,0,17,1,0,1.0
33.9983,-118.1058,0,1,1,17,1,1,1.0
34.0443,-118.2698,8,3,0,0,1,1,0.6604
34.0443,-118.2698,9,1,0,0,1,1,0.6481
34.0133,-118.4698,11,2,1,20,1,1,1.0
34.0443,-118.2698,9,4,0,0,0,1,0.6
34.0433,-118.2988,5,1,0,2,0,0,1.0
33.9263,-118.4128,9,3,0,18,0,0,1.0
34.0443,-118.2698,8,1,0,0,0,1,0.587
34.0503,-118.0978,1,1,0,17,1,0,1.0
33.9883,-118.2598,9,1,1,5,1,0,1.0
33.9073,-118.3978,4,1,0,18,0,0,1.0
34.0453,-118.0978,11,1,0,17,0,1,1.0
33.9553,-118.2688,11,2,0,8,0,1,1.0
33.9573,-118.2668,6,4,0,8,0,1,1.0
33.9383,-118.3888,1,4,0,15,1,0,1.0
33.9773,-118.2438,1,4,0,7,0,0,1.0
34.0243,-118.2798,2,4,0,2,1,1,1.0
33.8353,-118.3258,7,3,0,21,0,1,1.0
33.9243,-118.3718,9,2,0,15,0,0,1.0
33.8843,-118.1148,11,3,0,22,1,0,1.0
33.8543,-118.3888,11,3,0,22,1,1,1.0
33.9143,-118.2728,10,3,0,13,1,1,1.0
33.9903,-118.1748,3,1,0,10,1,0,1.0
